"file","level","status","exact","order_ok","n_missing","n_extra","missing","extra","signature"
"local2014_r2_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_r2_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2014_seats.csv","seats","EXACT",TRUE,TRUE,0,0,"","","selfgov_id,party_id,seats_pr,seats_smd,seats_mayor"
"local2014_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_smd_districts.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,registered,voted,voted_noon,voted_5pm,main_list,special_list,invalid_ballots,vote_share,turnout_pct,noon_pct,five_pct,invalid_pct"
"local2014_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_byelections_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_byelections_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_byelections_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_byelections_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_oct_byelections_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_oct_byelections_council_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,3,1,"selfgov_id|party_num|round","raw_district_id","precinct_id,precinct_key,district_id,raw_district_id,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_oct_byelections_smd.csv","district","DRIFT",FALSE,FALSE,0,0,"","","district_id,party_id,party_num,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2019_oct_byelections_smd_precincts.csv","precinct","DRIFT",FALSE,FALSE,4,0,"precinct_key|district_id|precinct_number|round","","precinct_id,selfgov_id,party_id,party_num,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
"local2017_2020_byelections_council_smd.csv","district","DRIFT",FALSE,FALSE,1,0,"party_num","","district_id,party_id,name_ka,round,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct"
