party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
"„ზვიადის გზა“ (ღმერთის, სიმართლისა და ქვეყნისათვის)",zviads_way,1,parl_2020,1
„ზურაბ გირჩი ჯაფარიძე: გირჩი - მეტი თავისუფლება“,girchi_more_freedom,51,local_2021,1
„ზურაბ გირჩი ჯაფარიძე: გირჩი - მეტი თავისუფლება”,girchi_more_freedom,751,local_2021,1
„თავისუფალი არჩევანი - ახალი ალტერნატივა“,free_choice,63,local_2021,1
„თავისუფალი არჩევანი - ახალი ალტერნატივა”,free_choice,39,local_2021,1
„თავისუფალი დემოკრატები“,free_democrats,5,parl_2020,1
"„თავისუფალი საქართველო (ზაზა ხატიაშვილი, კახა კუკავა, გრიგოლ ჯოჯუა)""",free_georgia,1,local_2021,1
"„თავისუფალი საქართველო (ზაზა ხატიაშვილი, კახა კუკავა, გრიგოლ ჯოჯუა)”",free_georgia,1079,local_2021,1
"„თავისუფალი საქართველო (კახა კუკავა, გიორგი წულაია)“",free_georgia,171,parl_2020,1
„თავისუფალი საქართველო“,free_georgia,131,adj_2024;local_2025,1
"„თავისუფალი საქართველო“ (კახა კუკავა, გიორგი წულაია)",free_georgia,24,adj_2020,1
„თავისუფლება-ზვიად გამსახურდიას გზა”,freedom_gamsakhurdia,940,local_2017,1
„თამაზ მეჭიაური ერთიანი საქართველოსთვის“,mechiauri,5,parl_2020,1
„თამაზ მეჭიაური ერთიანი საქართველოსთვის”,mechiauri,31,local_2017,2
„თამაზ მეჭიაური ერთიანი საქართველოსთვის”,mechiauri_united,100,local_2021;parl_2016,2
„თეთრები”,whites,7,local_2021,1
“თორთლაძე – დემოკრატიული პარტია”,tortladze_democratic_2010,401,local_2010,1
"“თოფაძე-მრეწველები,ჩვენი სამშობლო“",industry_sakartvelo,30,adj_2016,1
„ირაკლი ალასანია - თავისუფალი დემოკრატები”,free_democrats,63,parl_2016,1
„ირაკლი ოქრუაშვილი - გამარჯვებული საქართველო“,victorious_georgia,27,adj_2020;parl_2020,1
"„ირაკლი ღლონტი -
რეფორმატორები""",reformers_2014,1,local_2014,1
„კანონი და სამართალი”,law_justice,92,local_2021,1
"""კახა კუკავა - ""თავისუფალი საქართველო""",free_georgia,193,parl_2012,1
"„კახა ძაგანია, სოსო შატბერაშვილი, პაატა ჯიბლაძე, არჩილ ბენიძე - მემარცხენე ალიანსი”",left_alliance_2016,18,parl_2016,1
„კოალიცია ცვლილებისთვის გვარამია მელია გირჩი დროა“,coalition_for_change,23,adj_2024,1
„კონსერვატორები საქართველოსთვის“,conservatives_geo,870,local_2025,1
"„ლევან ჩაჩუა, გურამ ფალავანდიშვილი - ქართული იდეა“",georgian_idea,24,parl_2020,1
„ლელო - მამუკა ხაზარაძე“,lelo,49,adj_2020;parl_2020,1
„ლელო“,lelo,54,local_2021,1
„ლელო”,lelo,1628,local_2021,1
"„მამუკა ტუსკაძე-სოციალური სამართლიანობისათვის""",social_justice,1,local_2021,1
„მამუკა ტუსკაძე-სოციალური სამართლიანობისათვის”,social_justice,44,local_2021,1
"„მამული, ენა, სარწმუნოება“",mamuli_ena,106,local_2025,1
„მამული“,motherland_2020,1,local_2021,1
„მემარცხენე ალიანსი“,left_alliance,56,local_2021,1
„მემარცხენე ალიანსი”,left_alliance,182,local_2017,1
"“მემარჯვენე ალიანსი, თოფაძე–მრეწველები (მ.გ.ს., ერთობა, ე.დ.პ.)”",right_alliance_2008,21,parl_2008,1
"""მერაბ კოსტავას საზოგადოება""",kostava_society,122,parl_2012,1
„მერაბ კოსტავას საზოგადოება”,kostava_society,3,local_2014;local_2017,1
„მესამე გზა“,third_way,93,local_2021,1
"„მესამე ძალა-სტრატეგია აღმაშენებელი""",third_force,1,local_2021,1
„მესამე ძალა-სტრატეგია აღმაშენებელი”,third_force,1553,local_2021,1
„მესამე ძალა“,third_force,53,local_2021,1
„მომავალი საქართველო”,future_georgia,6,parl_2020,2
„მომავალი საქართველო”,future_georgia_2014,1,local_2014,2
“მომავლის პარტია”,future_party_2010,15,local_2010,1
„მოძრაობა სახელმწიფო ხალხისთვის”,for_people,33,local_2017,1
"„მურმან დუმბაძე,მედე ვასაძე - ემსახურე საქართველოს“",serve_georgia_2016,32,adj_2016,1
„მშრომელთა სოციალისტური პარტია“,workers_socialist,130,parl_2020,1
„მშრომელთა სოციალისტური პარტია”,workers_socialist,5,parl_2016,1
"„ნინო ბურჯანაძე -
ერთიანი ოპოზიცია""",burjanadze_united_opposition_2014,1,local_2014,1
„ნინო ბურჯანაძე-ერთიანი საქართველოდემოკრატიული მოძრაობა“,democratic_movement,25,adj_2020,1
„პროგრესი და თავისუფლება”,progress_freedom,47,local_2021,1
„პროგრესულ-დემოკრატიული მოძრაობა”,progressive_democratic_2017,117,local_2017,1
„პროგრესული საქართველო“,progressive_georgia,16,parl_2020,1
„რესპუბლიკური პარტია”,republicans_2016,438,local_2017,1
„რეფორმატორები”,reformators,29,local_2021,1
„რეფორმერი“,reformer,182,local_2021;parl_2020,1
„რეფორმერი”,reformer,143,local_2021,1
"„სალომე ზურაბიშვილი- საქართველოს გზა""",georgias_way_2014,1,local_2014,1
„საქართველო“,georgia_party,122,local_2025;parl_2020,1
„საქართველო”,georgia_2016,27,parl_2016,2
„საქართველო”,patriots,118,local_2017,2
„საქართველო“ მამუკა მელიქიშვილი საქართველოს პარლამენტის 2020 წლის 31 ოქტომბრის არჩევნებისათვის რეგისტრირებული მაჟორიტარი კანდიდატები 19,georgia_party,1,parl_2020,1
„საქართველოს განვითარების პარტია“,development_party,180,local_2021;parl_2020,1
„საქართველოს ერთიანი კომუნისტური პარტია”,united_communist_2016,9,parl_2016,1
„საქართველოს ერთიანი კომუნისტური პარტია” (სეკპ),adj2008_united_communist,5,adj_2008,1
„საქართველოს კომუნისტური პარტია - სტალინელები” (ივანე წიკლაური),communist_stalinist,27,parl_2016,1
„საქართველოს კონსერვატიული პარტია”,conservatives,4,adj_2008,1
„საქართველოს მშრომელთა საბჭო”,workers_council_2014,1,local_2014,1
„საქართველოს პატრიოტთა ალიანსი“,patriots,419,adj_2024;local_2025,1
„საქართველოს სოციალ-დემოკრატიული პარტია“,social_democrats,50,local_2021,1
„საქართველოს ძალოვან ვეტერანთა და პატრიოტთა პოლიტიკური მოძრაობა”,veterans,172,parl_2020,1
„სახალხო პარტია“,peoples_party,2,parl_2020,1
„სახალხო პარტია”,peoples_party,269,local_2021,1
„სახალხო ხელისუფლება“,peoples_power,183,local_2025,1
„სახე+”,face_plus,36,local_2021,1
„სერგო ჯავახიძე-ევროატლანტიკური ვექტორი“,euroatlantic_vector,136,parl_2020,1
„სოციალისტური საქართველო - კომუნისტები”,georgia_party,179,local_2017,1
„სოციალური სამართლიანობისათვის“,social_justice_2020,21,adj_2020,1
“სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია”,radical_democrats_2008,121,parl_2008,1
“ტრადიციონალისტები – ჩვენი საქართველო და ქალთა პარტია”,traditionalists,28,parl_2008,1
„ტრადიციონალისტები“,traditionalists,1,parl_2020,1
