election_id,sub_id,kind,slot,status,file
local_2025,,main,pr,present,src\data\candidates\local_2025_pr.csv
local_2025,,main,council_smd,present,src\data\candidates\local_2025_council_smd.csv
local_2025,,main,mayor,present,src\data\candidates\local_2025_mayor.csv
local_2025,,main,elected,present,src\data\candidates\local_2025_elected.csv
parl_1919,,main,pr,MISSING,src\data\candidates\parl_1919_pr.csv
parl_1919,,main,elected,MISSING,src\data\candidates\parl_1919_elected.csv
parl_2008,,main,pr,present,src\data\candidates\parl_2008_pr.csv
parl_2008,,main,smd,present,src\data\candidates\parl_2008_smd.csv
parl_2008,,main,elected,present,src\data\candidates\parl_2008_elected.csv
parl_2012,,main,pr,present,src\data\candidates\parl_2012_pr.csv
parl_2012,,main,smd,present,src\data\candidates\parl_2012_smd.csv
parl_2012,,main,elected,present,src\data\candidates\parl_2012_elected.csv
parl_2012,parl_2012_2015_byelection,by_election,smd,MISSING,src\data\candidates\parl_2012_2015_byelection_smd.csv
parl_2012,parl_2012_2015_byelection,by_election,elected,MISSING,src\data\candidates\parl_2012_2015_byelection_elected.csv
parl_2016,,main,pr,present,src\data\candidates\parl_2016_pr.csv
parl_2016,,main,smd,present,src\data\candidates\parl_2016_smd.csv
parl_2016,,main,elected,present,src\data\candidates\parl_2016_elected.csv
parl_2016,parl_2016_repeat_20161022,repeated,pr,MISSING,src\data\candidates\parl_2016_repeat_20161022_pr.csv
parl_2016,parl_2016_repeat_20161022,repeated,smd,MISSING,src\data\candidates\parl_2016_repeat_20161022_smd.csv
parl_2016,parl_2016_repeat_20161022,repeated,elected,MISSING,src\data\candidates\parl_2016_repeat_20161022_elected.csv
parl_2016,parl_2016_r2,runoff,smd,MISSING,src\data\candidates\parl_2016_r2_smd.csv
parl_2016,parl_2016_r2,runoff,elected,MISSING,src\data\candidates\parl_2016_r2_elected.csv
parl_2016,parl_2016_major54_2018,by_election,smd,MISSING,src\data\candidates\parl_2016_major54_2018_smd.csv
parl_2016,parl_2016_major54_2018,by_election,elected,MISSING,src\data\candidates\parl_2016_major54_2018_elected.csv
parl_2016,parl_2016_mtatsminda_2019,by_election,smd,MISSING,src\data\candidates\parl_2016_mtatsminda_2019_smd.csv
parl_2016,parl_2016_mtatsminda_2019,by_election,elected,MISSING,src\data\candidates\parl_2016_mtatsminda_2019_elected.csv
parl_2016,parl_2016_mtatsminda_2019_r2,runoff,smd,MISSING,src\data\candidates\parl_2016_mtatsminda_2019_r2_smd.csv
parl_2016,parl_2016_mtatsminda_2019_r2,runoff,elected,MISSING,src\data\candidates\parl_2016_mtatsminda_2019_r2_elected.csv
parl_2020,,main,pr,present,src\data\candidates\parl_2020_pr.csv
parl_2020,,main,smd,present,src\data\candidates\parl_2020_smd.csv
parl_2020,,main,elected,present,src\data\candidates\parl_2020_elected.csv
parl_2020,parl_2020_r2,runoff,smd,MISSING,src\data\candidates\parl_2020_r2_smd.csv
parl_2020,parl_2020_r2,runoff,elected,MISSING,src\data\candidates\parl_2020_r2_elected.csv
parl_2024,,main,pr,present,src\data\candidates\parl_2024_pr.csv
parl_2024,,main,elected,present,src\data\candidates\parl_2024_elected.csv
pres_2008,,main,presidential,present,src\data\candidates\pres_2008_presidential.csv
pres_2008,,main,elected,MISSING,src\data\candidates\pres_2008_elected.csv
pres_2013,,main,presidential,present,src\data\candidates\pres_2013_presidential.csv
pres_2013,,main,elected,MISSING,src\data\candidates\pres_2013_elected.csv
pres_2018,,main,presidential,present,src\data\candidates\pres_2018_presidential.csv
pres_2018,,main,elected,MISSING,src\data\candidates\pres_2018_elected.csv
pres_2018,pres_2018_r2,runoff,pr,MISSING,src\data\candidates\pres_2018_r2_pr.csv
pres_2018,pres_2018_r2,runoff,elected,MISSING,src\data\candidates\pres_2018_r2_elected.csv
pres_2024_indirect,,main,presidential,present,src\data\candidates\pres_2024_indirect_presidential.csv
pres_2024_indirect,,main,elected,MISSING,src\data\candidates\pres_2024_indirect_elected.csv
