"precinct_id","district_id","party_id","votes","vote_share","registered","voted","voted_noon","voted_5pm","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
1005,1,"left_alliance",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"mamuli_ena",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"mechiauri",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"national_democrats",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"new_christian_democrats",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"patriots",44,0.081031,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"peoples_unity_2017",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"progressive_democratic_2017",2,0.003683,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"republicans_2016",14,0.025783,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"traditionalists",0,0,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"unity_development",1,0.001842,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"unm",82,0.151013,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"vashadze_2017",15,0.027624,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"workers_socialist",1,0.001842,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1005,1,"zviads_way",1,0.001842,1507,576,165,437,0.382216,0.109489,0.28998,33,0.057292
1006,1,"burchuladze",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"burjanadze_democratic",34,0.047955,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"communist_stalinist",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"construction_movement_2017",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"european_georgia",56,0.078984,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"freedom_gamsakhurdia",4,0.005642,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"gd",422,0.595205,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"georgia_2016",4,0.005642,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"labour",18,0.025388,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"left_alliance",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"mamuli_ena",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"mechiauri",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"national_democrats",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"new_christian_democrats",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"patriots",34,0.047955,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"peoples_unity_2017",1,0.00141,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"progressive_democratic_2017",2,0.002821,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"republicans_2016",21,0.029619,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"traditionalists",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"unity_development",1,0.00141,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"unm",87,0.122708,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"vashadze_2017",22,0.03103,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"workers_socialist",3,0.004231,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1006,1,"zviads_way",0,0,1582,771,205,583,0.487358,0.129583,0.368521,60,0.077821
1007,1,"burchuladze",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"burjanadze_democratic",17,0.029982,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"communist_stalinist",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"construction_movement_2017",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"european_georgia",39,0.068783,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"freedom_gamsakhurdia",5,0.008818,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"gd",305,0.537919,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"georgia_2016",2,0.003527,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"labour",16,0.028219,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"left_alliance",3,0.005291,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"mamuli_ena",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"mechiauri",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"national_democrats",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"new_christian_democrats",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"patriots",23,0.040564,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"peoples_unity_2017",3,0.005291,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"progressive_democratic_2017",3,0.005291,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"republicans_2016",20,0.035273,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"traditionalists",0,0,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"unity_development",2,0.003527,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"unm",112,0.197531,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"vashadze_2017",15,0.026455,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"workers_socialist",1,0.001764,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1007,1,"zviads_way",1,0.001764,1402,617,188,485,0.440086,0.134094,0.345934,49,0.079417
1008,1,"burchuladze",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"burjanadze_democratic",19,0.04328,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"communist_stalinist",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"construction_movement_2017",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"european_georgia",29,0.066059,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"freedom_gamsakhurdia",9,0.020501,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"gd",246,0.560364,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"georgia_2016",1,0.002278,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"labour",10,0.022779,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"left_alliance",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"mamuli_ena",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"mechiauri",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
1008,1,"national_democrats",0,0,1136,467,124,336,0.411092,0.109155,0.295775,28,0.059957
